slug	name	type	status	path	live	tags	desc
project_ack	Almagest Construction Kit (ACK)						The Almagest Construction Kit (ACK) is a highly localized Retrieval-Augmented Generation (RAG) system designed to act as an automated ideation partner for the c
project_agrippadop	AgrippaDOP	project		C:\Dev\AgrippaDOP	https://t3dy.github.io/AgrippaDOP/	agrippa renaissance-magic textual-criticism dh	A scholarly comparison site mapping every chapter of Agrippa's De occulta philosophia across its 1510 draft and 1533 print editions.
project_alchemybeatemup	AlchemyBeatEmUp	project	STABLE	C:\Dev\AlchemyBeatEmUp		alchemy game sprites pixel-art pipeline python sqlite	DH pipeline turning historical alchemical engravings into pixel-art sprites for a "lab-is-the-boss" beat-em-up.
project_alchemyblockinvaders	AlchemyBlockInvaders	project		C:\Dev\AlchemyBlockInvaders		game alchemy education	A Space Invaders–style game where enemies are elemental alchemical blocks and shooting triggers Paracelsian reactions.
project_alchemyscryfall	Alchemy Scryfall			C:\Dev\alchemy_scryfall			Alchemy Scryfall is a structural mapping project that cross-indexes the mechanics of Magic: The Gathering (via the Scryfall API) with alchemical stages, Hermeti
project_alchemytetris	Alchemy Tetris (cluster)	project	ACTIVE			game tetris alchemy balance vanilla-js cluster	A family of alchemy-themed Tetris / tilting-balance browser games — BALANCETETRIS → TILTRIS → TetrisCodex arcade, plus element-themed AlchemyBalanceTetris.
project_alchemytimelinemap	ALCHEMYTIMELINEMAP	project		C:\Dev\ALCHEMYTIMELINEMAP	https://t3dy.github.io/AlchemyTimelineMap/	alchemy timeline map database	An interactive timeline and map of alchemy and chemistry — 500 events from Late Antiquity through the early modern period.
project_audiobookapp	audiobook-app (AudiobookPlayer)	project		C:\Dev\audiobook-app		android kotlin audio	A personal-use Android audiobook player with read-along PDF/text that auto-syncs to playback.
project_audiobookcleaner	AudiobookCleaner	project	ACTIVE	C:\Dev\AudiobookCleaner		audio pdf ocr tts python pipeline	Turns scholarly PDFs into clean plain prose and MP3 audiobooks via a clean → translate → narrate CLI pipeline.
project_bachstudies	Bach Studies			C:\Dev\BachStudies			A project presenting scholarly research and analysis related to Bach Studies. It strictly utilizes the standard "DH Framework" developed across the other Digita
project_barton	Barton Moving (client work)	project	STABLE			client commercial react vite moving-company	Client/commercial work — a three-part consulting pitch package for Barton Springs Moving, an Austin moving company.
project_bookhistory	Book History & Transcription Pipelines			C:\Dev\book_history			A collection of critical python scripts and methodologies focused on converting raw historical texts (Epubs, PDFs, Scans) into strictly formatted Markdown for i
project_bookstore	Bookstore / SHOPSITE	project	ACTIVE	C:\Dev\Bookstore		ecommerce nextjs stripe supabase	Personal e-commerce storefront (SHOPSITE spec → Bookstore implementation) selling the user's books, MTG cards, and gear.
project_christiancabaladb	ChristianCabalaDB	project		C:\Dev\ChristianCabalaDB		database christian-cabala kabbalah dh	A knowledge base documenting Christian Cabala — its Renaissance figures, primary texts, and modern scholarship.
project_claudiens	AtalantaClaudiens			C:\Dev\Claudiens			A digital humanities website showcasing H.M.E. De Jong's scholarship on Michael Maier's *Atalanta Fugiens* (1618). This is an alchemical emblem book combining 5
project_crowleydb	CrowleyDB	project		C:\Dev\CROWLEYDB	https://t3dy.github.io/CrowleyDB/	database occult crowley dh	A digital humanities database organizing and cross-referencing the works, life, associates, and symbolic system of Aleister Crowley.
project_digby	Digby Game & Almagest Showcase			C:\Dev\digby-game			The Digby Game is a highly interactive Digital Humanities engine focused on the life, esoteric theories, and philosophical world of Sir Kenelm Digby. It moves b
